Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
1832 asset management l.p.,TORONTO, ,"",21.0,129.0,0.0,,817,,21.0,, ,0.0000106,Q4 2023,1225,0000944388,,,40 TEMPERANCE STREET,16TH FLOOR,M5H 0B4
683 capital management  llc,NEW YORK,NY,PUT,11000.0,67320.0,0.0055,0.0068,221,113,-89000.0,-89.0,NY,N/A,Q1 2021,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
683 capital management  llc,NEW YORK,NY,"",10800.0,66096.0,0.0054,0.0068,222,112,-200.0,-1.8181818,NY,0.0054447,Q3 2023,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
Adage capital partners gp  l.l.c.,BOSTON,MA,"",0.0,0.0,,0.0008,"",787,-42150.0,-100.0,MA,0.0000000,Q3 2023,35,0001165408,,000160679,200 CLARENDON STREET,52ND FLOOR,02116
Advisornet financial  inc,MINNETONKA,MN,"",58.0,355.0,0.0,0.0,2192,1998,0.0,0.0,MN,0.0000292,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",35827.0,219261.0,0.0054,0.0273,1235,628,-91222.0,-71.8006438,GA,0.0180619,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Algert global llc,SAN FRANCISCO,CA,"",36150.0,221000.0,0.0089,0.0172,1003,836,-9500.0,-20.8105148,CA,0.0182247,Q3 2023,84,0001275218,,,101 CALIFORNIA STREET,SUITE 3240,94111
Alliancebernstein l.p.,NASHVILLE,TN,"",175165.0,1072010.0,0.0004,0.0001,2238,2944,148979.0,568.9261437,TN,0.0883080,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allspring global investments holdings  llc,CHARLOTTE,NC,"",266.0,1627.0,0.0,0.0,2116,2643,-647.0,-70.8652793,NC,0.0001341,Q4 2021,545310,0001890906,,,1415 VANTAGE PARK DRIVE,3RD FLOOR,28203
Allworth financial lp,FOLSOM,CA,"",566.0,3464.0,0.0,0.0,2433,2427,250.0,79.1139241,CA,0.0002853,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Alphamark advisors  llc,FT. WRIGHT,KY,"",45.0,0.0,0.0,0.0,711,731,0.0,0.0,KY,0.0000227,Q3 2022,100,0001348183,364293631,,810 WRIGHT'S SUMMIT PKWY,SUITE 100,41011
Amalgamated bank,NEW YORK,NY,"",28695.0,176000.0,0.0014,0.0006,1830,2117,19818.0,223.2510983,NY,0.0144663,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American international group  inc.,NEW YORK,NY,"",1630.0,9976.0,0.0,0.0,3011,3051,1134.0,228.6290323,NY,0.0008218,Q2 2014,129,0000005272,,,1271 AVE OF THE AMERICAS,FL 37,10020-1304
Anchor investment management  llc,COLUMBIA,SC,"",1066.0,6524.0,0.0007,0.0011,798,768,0.0,0.0,SC,0.0005374,Q1 2023,656019,0001634149,,000135296,3205 DEVINE STREET, ,29205
Aqr capital management llc,GREENWICH,CT,"",244264.0,1494896.0,0.0028,0.0042,1463,1315,-13182.0,-5.1202971,CT,0.1231437,Q2 2023,166,0001167557,133987414,000111883,ONE GREENWICH PLAZA,SUITE 130,06830
Aristeia capital  l.l.c.,GREENWICH,CT,PUT,50000.0,306000.0,0.0054,0.0107,81,85,0.0,0.0,CT,N/A,Q4 2022,187,0001080171,133953132,,ONE GREENWICH PLAZA,SUITE 300,06830
Arizona state retirement system,PHOENIX,AZ,"",55449.0,339348.0,0.0026,0.0027,1657,1629,15406.0,38.4736408,AZ,0.0279542,Q1 2020,190792,0001558481,,,3300 NORTH CENTRAL AVENUE,14TH FLOOR,85012
Asset dedication  llc,SAN FRANCISCO,CA,"",2.0,0.0,0.0,0.0,978,979,0.0,0.0,CA,0.0000010,Q2 2021,231170,0001475896,,,220 MONTGOMERY ST.,SUITE 1098,94104
Avantax advisory services  inc.,DALLAS,TX,"",16663.0,101978.0,0.001,0.001,1524,1495,5070.0,43.7332873,TX,0.0084005,Q2 2022,431235,0001303042,,,3200 OLYMPUS BLVD.,SUITE 100,75019
Avion wealth,THE WOODLANDS,TX,"",32.0,0.0,0.0,0.0,1063,792,0.0,0.0,TX,0.0000161,Q2 2021,454057,0001792704,,,2829 TECHNOLOGY FOREST BLVD #300, ,77381
Avior wealth management  llc,OMAHA,NE,"",0.0,0.0,,0.0,"",1590,-1.0,-100.0,NE,0.0000000,Q2 2021,256351,0001599868,,,14301 FIRST NATIONAL BANK PARKWAY,#110,68154
Axa s.a.,PARIS,I0,"",125100.0,765612.0,0.0025,0.0035,882,840,0.0,0.0,I0,0.0630681,Q3 2023,245,0000898427,,,25 AVENUE MATIGNON, ,75008
Axq capital  lp,JERSEY CITY,NJ,"",95800.0,586296.0,0.1562,,234,,95800.0,,NJ,0.0482968,Q4 2023,623891,0001916908,,000318863,525 WASHINGTON BLVD,SUITE #2110,07310
