holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
INVESCO LTD.,EQUITY,,0,,48946.0,NO_CHANGE,2012-03-31,,
AQR CAPITAL MANAGEMENT LLC,EQUITY,,0,,14395.0,NO_CHANGE,2012-03-31,,
ARISTEIA CAPITAL L.L.C.,EQUITY,,0,,44409.0,NO_CHANGE,2012-03-31,,
BALYASNY ASSET MANAGEMENT L.P.,EQUITY,,0,,184568.0,NO_CHANGE,2012-03-31,,
BANK OF AMERICA CORP,EQUITY,,0,,-3962092.0,NO_CHANGE,2012-03-31,,
BANK OF NEW YORK MELLON CORP,EQUITY,,0,,-85045.0,NO_CHANGE,2012-03-31,,
BARCLAYS PLC,EQUITY,,0,,481217.0,NO_CHANGE,2012-03-31,,
BARCLAYS PLC,EQUITY,,0,,1000000.0,NO_CHANGE,2012-03-31,,
BLACKROCK INC,EQUITY,,0,,1614679.0,NO_CHANGE,2012-03-31,,
KEEL POINT LLC,EQUITY,,0,,2.0,NO_CHANGE,2012-03-31,,
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,EQUITY,,0,,-110152.0,NO_CHANGE,2012-03-31,,
CIBC WORLD MARKETS CORP,EQUITY,,0,,-36047.0,NO_CHANGE,2012-03-31,,
CITIGROUP INC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
CITIGROUP INC,EQUITY,,0,,702266.0,NO_CHANGE,2012-03-31,,
CITIGROUP INC,EQUITY,,0,,199500.0,NO_CHANGE,2012-03-31,,
COATUE MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
COBALT CAPITAL MANAGEMENT INC.,EQUITY,,0,,-150000.0,NO_CHANGE,2012-03-31,,
COLDSTREAM CAPITAL MANAGEMENT INC,EQUITY,,0,,-672.0,NO_CHANGE,2012-03-31,,
COMERICA BANK,EQUITY,,0,,138.0,NO_CHANGE,2012-03-31,,
D. E. SHAW & COMPANY . INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
D. E. SHAW & COMPANY . INC.,EQUITY,,0,,995115.0,NO_CHANGE,2012-03-31,,
DELTA ASSET MANAGEMENT LLC,EQUITY,,0,,4.0,NO_CHANGE,2012-03-31,,
DEUTSCHE BANK AG,EQUITY,,0,,39368.0,NO_CHANGE,2012-03-31,,
FIFTH THIRD BANCORP,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
FIRST TRUST ADVISORS LP,EQUITY,,0,,230899.0,NO_CHANGE,2012-03-31,,
FMR LLC,EQUITY,,0,,-112513.0,NO_CHANGE,2012-03-31,,
GEODE CAPITAL MANAGEMENT LLC,EQUITY,,0,,971381.0,NO_CHANGE,2012-03-31,,
GMT CAPITAL CORP,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
GOLDMAN SACHS GROUP INC,EQUITY,,0,,913748.0,NO_CHANGE,2012-03-31,,
GRAHAM CAPITAL MANAGEMENT L.P.,EQUITY,,0,,98008.0,NO_CHANGE,2012-03-31,,
BANK OF MONTREAL,EQUITY,,0,,-25498.0,NO_CHANGE,2012-03-31,,
JANUS HENDERSON GROUP PLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
HSBC HOLDINGS PLC,EQUITY,,0,,81855.0,NO_CHANGE,2012-03-31,,
HUNTINGTON NATIONAL BANK,EQUITY,,0,,1.0,NO_CHANGE,2012-03-31,,
JPMORGAN CHASE & COMPANY,EQUITY,,0,,-157337.0,NO_CHANGE,2012-03-31,,
LEGAL & GENERAL GROUP PLC,EQUITY,,0,,-24203.0,NO_CHANGE,2012-03-31,,
LPL FINANCIAL LLC,EQUITY,,0,,118713.0,NO_CHANGE,2012-03-31,,
LOS ANGELES CAPITAL MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
MACKENZIE FINANCIAL CORP,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
MANUFACTURERS LIFE INSURANCE COMPANY THE,EQUITY,,0,,4904.0,NO_CHANGE,2012-03-31,,
MARSHALL WACE LLP,EQUITY,,0,,817552.0,NO_CHANGE,2012-03-31,,
MARSHALL WACE LLP,EQUITY,,0,,12900.0,NO_CHANGE,2012-03-31,,
MARSHALL WACE LLP,EQUITY,,0,,4400.0,NO_CHANGE,2012-03-31,,
MAI CAPITAL MANAGEMENT,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
MILLENNIUM MANAGEMENT LLC,EQUITY,,0,,16000.0,NO_CHANGE,2012-03-31,,
MILLENNIUM MANAGEMENT LLC,EQUITY,,0,,28000.0,NO_CHANGE,2012-03-31,,
MILLENNIUM MANAGEMENT LLC,EQUITY,,0,,-322090.0,NO_CHANGE,2012-03-31,,
MORGAN STANLEY,EQUITY,,0,,-1470133.0,NO_CHANGE,2012-03-31,,
NEW YORK STATE COMMON RETIREMENT FUND,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
NISA INVESTMENT ADVISORS LLC,EQUITY,,0,,2245.0,NO_CHANGE,2012-03-31,,
NOMURA HOLDINGS INC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
NOMURA HOLDINGS INC,EQUITY,,0,,8141.0,NO_CHANGE,2012-03-31,,
NORGES BANK,EQUITY,,0,,76909.0,NO_CHANGE,2012-03-31,,
NORTHERN TRUST CORP,EQUITY,,0,,119030.0,NO_CHANGE,2012-03-31,,
NORTHWESTERN MUTUAL WEALTH MANAGEMENT COMPANY,EQUITY,,0,,-2984.0,NO_CHANGE,2012-03-31,,
SCULPTOR CAPITAL LP,EQUITY,,0,,1569300.0,NO_CHANGE,2012-03-31,,
PECONIC PARTNERS LLC,EQUITY,,0,,2000000.0,NO_CHANGE,2012-03-31,,
PENTWATER CAPITAL MANAGEMENT LP,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
PENTWATER CAPITAL MANAGEMENT LP,EQUITY,,0,,48626044.0,NO_CHANGE,2012-03-31,,
PNC FINANCIAL SERVICES GROUP INC.,EQUITY,,0,,-20.0,NO_CHANGE,2012-03-31,,
PRICE T ROWE ASSOCIATES INC,EQUITY,,0,,44879.0,NO_CHANGE,2012-03-31,,
PRINCIPAL FINANCIAL GROUP INC,EQUITY,,0,,283.0,NO_CHANGE,2012-03-31,,
PRIVATE TRUST COMPANY NA,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
PROSHARE ADVISORS LLC,EQUITY,,0,,-14830.0,NO_CHANGE,2012-03-31,,
PRUDENTIAL FINANCIAL INC,EQUITY,,0,,200.0,NO_CHANGE,2012-03-31,,
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
RENAISSANCE TECHNOLOGIES LLC,EQUITY,,0,,958800.0,NO_CHANGE,2012-03-31,,
RHUMBLINE ADVISERS,EQUITY,,0,,-18583.0,NO_CHANGE,2012-03-31,,
ROYAL BANK OF CANADA,EQUITY,,0,,-305675.0,NO_CHANGE,2012-03-31,,
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,EQUITY,,0,,311810.0,NO_CHANGE,2012-03-31,,
SG AMERICAS SECURITIES LLC,EQUITY,,0,,-12383.0,NO_CHANGE,2012-03-31,,
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
STATE OF WISCONSIN INVESTMENT BOARD,EQUITY,,0,,-33661.0,NO_CHANGE,2012-03-31,,
STATE STREET CORP,EQUITY,,0,,871963.0,NO_CHANGE,2012-03-31,,
STERLING CAPITAL MANAGEMENT LLC,EQUITY,,0,,18389.0,NO_CHANGE,2012-03-31,,
AMERITAS INVESTMENT PARTNERS INC.,EQUITY,,0,,-8077.0,NO_CHANGE,2012-03-31,,
TEACHER RETIREMENT SYSTEM OF TEXAS,EQUITY,,0,,56206.0,NO_CHANGE,2012-03-31,,
TRUST COMPANY OF VERMONT,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
UBS GROUP AG,EQUITY,,0,,22694842.0,NO_CHANGE,2012-03-31,,
UBS AM A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC,EQUITY,,0,,-442748.0,NO_CHANGE,2012-03-31,,
OCONNOR A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS (LLC),EQUITY,,0,,-860.0,NO_CHANGE,2012-03-31,,
US BANCORP DE,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
VANGUARD GROUP INC,EQUITY,,0,,5793996.0,NO_CHANGE,2012-03-31,,
VIRGINIA RETIREMENT SYSTEMS ET AL,EQUITY,,0,,-13700.0,NO_CHANGE,2012-03-31,,
WALLEYE TRADING LLC,EQUITY,,0,,13496.0,NO_CHANGE,2012-03-31,,
WALLEYE TRADING LLC,EQUITY,,0,,34000.0,NO_CHANGE,2012-03-31,,
WALLEYE TRADING LLC,EQUITY,,0,,-136600.0,NO_CHANGE,2012-03-31,,
WELLS FARGO & COMPANY,EQUITY,,0,,454514.0,NO_CHANGE,2012-03-31,,
WHITEBOX ADVISORS LLC,EQUITY,,0,,778400.0,NO_CHANGE,2012-03-31,,
WHITEBOX ADVISORS LLC,EQUITY,,0,,-64144.0,NO_CHANGE,2012-03-31,,
WOLVERINE ASSET MANAGEMENT LLC,EQUITY,,0,,-22113.0,NO_CHANGE,2012-03-31,,
CAPSTONE INVESTMENT ADVISORS LLC,EQUITY,,0,,54833.0,NO_CHANGE,2012-03-31,,
RAYMOND JAMES FINANCIAL INC,EQUITY,,0,,53473.0,NO_CHANGE,2012-03-31,,
STIFEL FINANCIAL CORP,EQUITY,,0,,-792.0,NO_CHANGE,2012-03-31,,
SEI INVESTMENTS COMPANY,EQUITY,,0,,1.0,NO_CHANGE,2012-03-31,,
KBC GROUP NV,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
L & S ADVISORS INC,EQUITY,,0,,242000.0,NO_CHANGE,2012-03-31,,
SUSQUEHANNA INTERNATIONAL GROUP LLP,EQUITY,,0,,1487834.0,NO_CHANGE,2012-03-31,,
SUSQUEHANNA INTERNATIONAL GROUP LLP,EQUITY,,0,,370500.0,NO_CHANGE,2012-03-31,,
SUSQUEHANNA INTERNATIONAL GROUP LLP,EQUITY,,0,,-743900.0,NO_CHANGE,2012-03-31,,
ANCORA ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
ALLIANCEBERNSTEIN L.P.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
IMC-CHICAGO LLC,EQUITY,,0,,99200.0,NO_CHANGE,2012-03-31,,
IMC-CHICAGO LLC,EQUITY,,0,,-309700.0,NO_CHANGE,2012-03-31,,
IMC-CHICAGO LLC,EQUITY,,0,,-30500.0,NO_CHANGE,2012-03-31,,
SIGNATUREFD LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
NEUBERGER BERMAN GROUP LLC,EQUITY,,0,,-1872.0,NO_CHANGE,2012-03-31,,
BOKF NA,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
COMMONWEALTH EQUITY SERVICES LLC,EQUITY,,0,,1347.0,NO_CHANGE,2012-03-31,,
JOHNSON FINANCIAL GROUP INC.,EQUITY,,0,,-23.0,NO_CHANGE,2012-03-31,,
VOLEON CAPITAL MANAGEMENT LP,EQUITY,,0,,20380.0,NO_CHANGE,2012-03-31,,
DRW SECURITIES LLC,EQUITY,,0,,99877.0,NO_CHANGE,2012-03-31,,
DRW SECURITIES LLC,EQUITY,,0,,-248100.0,NO_CHANGE,2012-03-31,,
CITADEL ADVISORS LLC,EQUITY,,0,,4582544.0,NO_CHANGE,2012-03-31,,
CITADEL ADVISORS LLC,EQUITY,,0,,267600.0,NO_CHANGE,2012-03-31,,
CITADEL ADVISORS LLC,EQUITY,,0,,110100.0,NO_CHANGE,2012-03-31,,
VICTORY CAPITAL MANAGEMENT INC,EQUITY,,0,,7339.0,NO_CHANGE,2012-03-31,,
AMUNDI,EQUITY,,0,,-20698.0,NO_CHANGE,2012-03-31,,
ASSETMARK INC,EQUITY,,0,,-33.0,NO_CHANGE,2012-03-31,,
SUSQUEHANNA FUNDAMENTAL INVESTMENTS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
JONES FINANCIAL COMPANIES LLLP,EQUITY,,0,,7496.0,NO_CHANGE,2012-03-31,,
NATIONAL BANK OF CANADA,EQUITY,,0,,1.0,NO_CHANGE,2012-03-31,,
GROUP ONE TRADING LLC,EQUITY,,0,,1113200.0,NO_CHANGE,2012-03-31,,
GROUP ONE TRADING LLC,EQUITY,,0,,-296752.0,NO_CHANGE,2012-03-31,,
GROUP ONE TRADING LLC,EQUITY,,0,,-16000.0,NO_CHANGE,2012-03-31,,
AMALGAMATED BANK,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
VOYA INVESTMENT MANAGEMENT LLC,EQUITY,,0,,-38906.0,NO_CHANGE,2012-03-31,,
CIBC PRIVATE WEALTH GROUP LLC,EQUITY,,0,,4378.0,NO_CHANGE,2012-03-31,,
PITCAIRN COMPANY,EQUITY,,0,,-10869.0,NO_CHANGE,2012-03-31,,
PARKSIDE FINANCIAL BANK & TRUST,EQUITY,,0,,-1067.0,NO_CHANGE,2012-03-31,,
CITIZENS FINANCIAL GROUP INC,EQUITY,,0,,11607.0,NO_CHANGE,2012-03-31,,
PEAK6 LLC,EQUITY,,0,,50000.0,NO_CHANGE,2012-03-31,,
PEAK6 LLC,EQUITY,,0,,19000.0,NO_CHANGE,2012-03-31,,
INTECH INVESTMENT MANAGEMENT LLC,EQUITY,,0,,-74877.0,NO_CHANGE,2012-03-31,,
TWO SIGMA ADVISERS LP,EQUITY,,0,,7096.0,NO_CHANGE,2012-03-31,,
BREVAN HOWARD CAPITAL MANAGEMENT LP,EQUITY,,0,,67576.0,NO_CHANGE,2012-03-31,,
HANTZ FINANCIAL SERVICES INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
GTS SECURITIES LLC,EQUITY,,0,,28850.0,NO_CHANGE,2012-03-31,,
PRINCIPAL SECURITIES INC.,EQUITY,,0,,-25.0,NO_CHANGE,2012-03-31,,
HARBOUR INVESTMENTS INC.,EQUITY,,0,,372.0,NO_CHANGE,2012-03-31,,
GENEOS WEALTH MANAGEMENT INC.,EQUITY,,0,,-83.0,NO_CHANGE,2012-03-31,,
BARRETT & COMPANY INC.,EQUITY,,0,,-85.0,NO_CHANGE,2012-03-31,,
SUNBELT SECURITIES INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
TWO SIGMA SECURITIES LLC,EQUITY,,0,,2695.0,NO_CHANGE,2012-03-31,,
GLEN EAGLE ADVISORS LLC,EQUITY,,0,,-500.0,NO_CHANGE,2012-03-31,,
SIMPLEX TRADING LLC,EQUITY,,0,,1075500.0,NO_CHANGE,2012-03-31,,
SIMPLEX TRADING LLC,EQUITY,,0,,555000.0,NO_CHANGE,2012-03-31,,
EQUITEC PROPRIETARY MARKETS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
HRT FINANCIAL LP,EQUITY,,0,,51400.0,NO_CHANGE,2012-03-31,,
BNP PARIBAS ASSET MANAGEMENT HOLDING S.A.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
J. GOLDMAN & COMPANY LP,EQUITY,,0,,870300.0,NO_CHANGE,2012-03-31,,
PARALLAX VOLATILITY ADVISERS L.P.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
WEALTHFRONT ADVISERS LLC,EQUITY,,0,,5763.0,NO_CHANGE,2012-03-31,,
METLIFE INVESTMENT MANAGEMENT LLC,EQUITY,,0,,-16169.0,NO_CHANGE,2012-03-31,,
CREATIVE PLANNING,EQUITY,,0,,-5829.0,NO_CHANGE,2012-03-31,,
ZURCHER KANTONALBANK (ZURICH CANTONALBANK),EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
COVALENT PARTNERS LLC,EQUITY,,0,,-336000.0,NO_CHANGE,2012-03-31,,
FOCUS PARTNERS WEALTH,EQUITY,,0,,50038.0,NO_CHANGE,2012-03-31,,
ADVISORNET FINANCIAL INC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
ALLWORTH FINANCIAL LP,EQUITY,,0,,2.0,NO_CHANGE,2012-03-31,,
ARIZONA STATE RETIREMENT SYSTEM,EQUITY,,0,,2113.0,NO_CHANGE,2012-03-31,,
CSS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
CSS LLC,EQUITY,,0,,314600.0,NO_CHANGE,2012-03-31,,
CSS LLC,EQUITY,,0,,-1615.0,NO_CHANGE,2012-03-31,,
SMITHFIELD TRUST COMPANY,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
JFS WEALTH ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
COLONIAL TRUST ADVISORS,EQUITY,,0,,700.0,NO_CHANGE,2012-03-31,,
TOWER RESEARCH CAPITAL LLC (TRC),EQUITY,,0,,-29112.0,NO_CHANGE,2012-03-31,,
ADVISORY SERVICES NETWORK LLC,EQUITY,,0,,4980.0,NO_CHANGE,2012-03-31,,
SWISS NATIONAL BANK,EQUITY,,0,,14500.0,NO_CHANGE,2012-03-31,,
ASSET DEDICATION LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
CWM LLC,EQUITY,,0,,-48.0,NO_CHANGE,2012-03-31,,
FIRST HORIZON ADVISORS INC.,EQUITY,,0,,-19.0,NO_CHANGE,2012-03-31,,
TD PRIVATE CLIENT WEALTH LLC,EQUITY,,0,,214.0,NO_CHANGE,2012-03-31,,
WALDRON PRIVATE WEALTH LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
