contractsymbol,lasttradedate,strike,lastprice,bid,ask,change,percentchange,volume,openinterest,impliedvolatility,inthemoney,contractsize,currency,ticker,option_type,expiration_date,source,contract_symbol,last_price,percent_change,open_interest,implied_volatility,in_the_money,last_trade_date
AMC250815C00000500,2025-08-13 14:44:24,0.5,2.34,2.46,2.61,0.0,0.0,1.0,18.0,27.000001562500003,True,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00001000,2025-08-12 13:33:01,1.0,1.97,1.9,2.22,0.0,0.0,2.0,9.0,12.500002187500002,True,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00001500,2025-08-13 17:11:29,1.5,1.5,1.31,1.73,0.0,0.0,9.0,13.0,16.062504980468752,True,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00002000,2025-08-14 19:54:24,2.0,1.05,0.93,1.08,-0.00999999,-0.9433954,24.0,501.0,6.37500203125,True,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00002500,2025-08-14 19:58:07,2.5,0.54,0.53,0.57,-0.049999952,-8.474568,369.0,1483.0,2.50000375,True,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00003000,2025-08-14 19:59:18,3.0,0.07,0.06,0.07,-0.030000001,-30.0,9031.0,45041.0,0.6562534375000001,True,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00003500,2025-08-14 19:54:44,3.5,0.01,0.0,0.01,-0.01,-50.0,7188.0,43173.0,1.625001875,False,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00004000,2025-08-14 19:55:09,4.0,0.01,0.0,0.01,-0.01,-50.0,653.0,18883.0,2.750003125,False,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00004500,2025-08-14 19:45:00,4.5,0.01,0.0,0.01,0.0,0.0,111.0,5923.0,3.6250009375,False,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00005000,2025-08-14 19:21:27,5.0,0.01,0.0,0.01,0.0,0.0,25.0,11134.0,4.500004375,False,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
AMC250815C00005500,2025-08-14 16:23:32,5.5,0.01,0.0,0.01,0.0,0.0,1.0,1836.0,5.000003749999999,False,REGULAR,USD,AMC,call,2025-08-15,options_calls_20250815.csv,,,,,,,
